"id",name,alternativeNames,municipio,departamentoId,departamento,latitud,longitud
"05861",Venecia - Antioquia,,Venecia,5,Antioquia,5.9166667,-75.75
"05873",Vigía del Fuerte - Antioquia,,Vigía del Fuerte,5,Antioquia,6.5919444,-76.8986111
"05885",Yalí - Antioquia,,Yalí,5,Antioquia,6.8333333,-74.75
"05887",Yarumal - Antioquia,,Yarumal,5,Antioquia,7,-75.5
"05890",Yolombó - Antioquia,,Yolombó,5,Antioquia,6.6666667,-75
"05893",Yondó (Casabe) - Antioquia,,Yondó (Casabe),5,Antioquia,7.0077778,-73.9141667
"05895",Zaragoza - Antioquia,,Zaragoza,5,Antioquia,7.75,-74.75
"81001",Arauca - Arauca,,Arauca,81,Arauca,7.0902778,-70.7616667
"81065",Arauquita - Arauca,,Arauquita,81,Arauca,6.8219444,-71.3236111
"81220",Cravo Norte - Arauca,,Cravo Norte,81,Arauca,6.3030556,-70.2016667
"81300",Fortúl - Arauca,,Fortúl,81,Arauca,6.7461111,-71.8566667
"81591",Puerto Rondón - Arauca,,Puerto Rondón,81,Arauca,6.2780556,-71.1
"81736",Saravena - Arauca,,Saravena,81,Arauca,6.9205556,-71.8533333
"81794",Tame - Arauca,,Tame,81,Arauca,6.4641667,-71.7288889
"08078",Baranoa - Atlántico,,Baranoa,8,Atlántico,10.8,-74.9166667
"08001",Barranquilla - Atlántico,,Barranquilla,8,Atlántico,10.9638889,-74.7963889
"08137",Campo de la Cruz - Atlántico,,Campo de la Cruz,8,Atlántico,10.4166667,-74.9166667
"08141",Candelaria - Atlántico,,Candelaria,8,Atlántico,10.5,-74.8333333
"08296",Galapa - Atlántico,,Galapa,8,Atlántico,10.9166667,-74.8333333
"08132",Juan de Acosta - Atlántico,,Juan de Acosta,8,Atlántico,10.8333333,-75.0333333
"08421",Luruaco - Atlántico,,Luruaco,8,Atlántico,10.6141667,-75.1461111
"08433",Malambo - Atlántico,,Malambo,8,Atlántico,10.8588889,-74.7730556
"08436",Manatí - Atlántico,,Manatí,8,Atlántico,10.5,-75
"08520",Palmar de Varela - Atlántico,,Palmar de Varela,8,Atlántico,10.7466667,-74.7555556
"08549",Piojo - Atlántico,,Piojo,8,Atlántico,10.75,-75.1333333
"08558",Polonuevo - Atlántico,,Polonuevo,8,Atlántico,10.75,-74.7833333
"08560",Ponedera - Atlántico,,Ponedera,8,Atlántico,10.6436111,-74.7544444
"08573",Puerto Colombia - Atlántico,,Puerto Colombia,8,Atlántico,11.0166667,-74.8833333
"08606",Repelón - Atlántico,,Repelón,8,Atlántico,10.55,-75.1333333
"08634",Sabanagrande - Atlántico,,Sabanagrande,8,Atlántico,10.8,-74.75
"08638",Sabanalarga - Atlántico,,Sabanalarga,8,Atlántico,10.6333333,-74.8333333
"08675",Santa Lucía - Atlántico,,Santa Lucía,8,Atlántico,10.3286111,-74.9644444
"08685",Santo Tomás - Atlántico,,Santo Tomás,8,Atlántico,10.75,-74.8333333
"08758",Soledad - Atlántico,,Soledad,8,Atlántico,10.9172222,-74.7666667
"08770",Suan - Atlántico,,Suan,8,Atlántico,10.3333333,-74.9166667
"08832",Tubará - Atlántico,,Tubará,8,Atlántico,10.9166667,-74.95
"08849",Usiacuri - Atlántico,,Usiacuri,8,Atlántico,10.75,-74.9666667
"11001",Bogotá - Bogotá D.C.,Bogotá – Cundinamarca|Bogotá D.C.|Santa fé de Bogotá – Cundinamarca|Santa fe de bogotá – Bogotá|Santafe de bogota D.C.|Santa fe de bogota D.C.,Bogotá,11,Bogotá D.C.,4.6,-74.0833333
"13006",Achí - Bolívar,,Achí,13,Bolívar,8.25,-74.5
"13030",Altos del Rosario - Bolívar,,Altos del Rosario,13,Bolívar,8.7944444,-74.1658333
"13042",Arenal - Bolívar,,Arenal,13,Bolívar,8.4666667,-73.95
"13052",Arjona - Bolívar,,Arjona,13,Bolívar,10.1666667,-75.3333333
"13062",Arroyohondo - Bolívar,,Arroyohondo,13,Bolívar,10.2497222,-75.0113889
"13074",Barranco de Loba - Bolívar,,Barranco de Loba,13,Bolívar,8.8333333,-74.1666667
"13140",Calamar - Bolívar,,Calamar,13,Bolívar,10.25,-75
"13160",Cantagallo - Bolívar,,Cantagallo,13,Bolívar,7.3791667,-73.9180556
"13001",Cartagena - Bolívar,,Cartagena,13,Bolívar,10.3997222,-75.5144444
"13188",Cicuco - Bolívar,,Cicuco,13,Bolívar,9.4166667,-74.7333333
"13222",Clemencia - Bolívar,,Clemencia,13,Bolívar,10.5891667,-75.3341667
"13212",Córdoba - Bolívar,,Córdoba,13,Bolívar,9.5,-74.9166667
"13244",El Carmen de Bolívar - Bolívar,,El Carmen de Bolívar,13,Bolívar,9.75,-75.1666667
"13248",El Guamo - Bolívar,,El Guamo,13,Bolívar,10.0833333,-74.9166667
"13268",El Peñon - Bolívar,,El Peñon,13,Bolívar,8.9833333,-73.95
"13300",Hatillo de Loba - Bolívar,,Hatillo de Loba,13,Bolívar,8.9586111,-74.0808333
"13430",Magangué - Bolívar,,Magangué,13,Bolívar,9.2413889,-74.7533333
"13433",Mahates - Bolívar,,Mahates,13,Bolívar,10.1666667,-75.1666667
"13440",Margarita - Bolívar,,Margarita,13,Bolívar,9.0833333,-74.2
"13442",María la Baja - Bolívar,,María la Baja,13,Bolívar,10,-75.3333333
"13468",Mompós - Bolívar,,Mompós,13,Bolívar,9.25,-74.5833333
"13458",Montecristo - Bolívar,,Montecristo,13,Bolívar,8.2994444,-74.4755556
"13473",Morales - Bolívar,,Morales,13,Bolívar,8.4166667,-74
"13490",Norosí - Bolívar,,Norosí,13,Bolívar,8.5333333,-74.0333333
"13549",Pinillos - Bolívar,,Pinillos,13,Bolívar,8.9172222,-74.4663889
"13580",Regidor - Bolívar,,Regidor,13,Bolívar,8.6666667,-73.8333333
"13600",Río Viejo - Bolívar,,Río Viejo,13,Bolívar,8.59,-73.8436111
"13620",San Cristobal - Bolívar,,San Cristobal,13,Bolívar,9.8833333,-75.25
"13647",San Estanislao - Bolívar,,San Estanislao,13,Bolívar,10.3983333,-75.1511111
"13650",San Fernando - Bolívar,,San Fernando,13,Bolívar,9.0833333,-74.3333333
"13654",San Jacinto - Bolívar,,San Jacinto,13,Bolívar,9.8333333,-75.0833333
"13655",San Jacinto del Cauca - Bolívar,,San Jacinto del Cauca,13,Bolívar,9.8316667,-75.1263889
"13657",San Juan de Nepomuceno - Bolívar,,San Juan de Nepomuceno,13,Bolívar,9.9566667,-75.0866667
"13667",San Martín de Loba - Bolívar,,San Martín de Loba,13,Bolívar,8.8333333,-73.9166667
"13670",San Pablo - Bolívar,,San Pablo,13,Bolívar,10.0527778,-75.2680556
"13673",Santa Catalina - Bolívar,,Santa Catalina,13,Bolívar,10.5833333,-75.25
"13683",Santa Rosa - Bolívar,,Santa Rosa,13,Bolívar,10.45,-75.3333333
"13688",Santa Rosa del Sur - Bolívar,,Santa Rosa del Sur,13,Bolívar,7.9644444,-74.0544444
"13744",Simití - Bolívar,,Simití,13,Bolívar,7.5833333,-74.1666667
"13760",Soplaviento - Bolívar,,Soplaviento,13,Bolívar,10.3333333,-75.1
"13780",Talaigua Nuevo - Bolívar,,Talaigua Nuevo,13,Bolívar,9.3069444,-74.5686111
"13810",Tiquisio (Puerto Rico) - Bolívar,,Tiquisio (Puerto Rico),13,Bolívar,8.5597222,-74.2669444
"13836",Turbaco - Bolívar,,Turbaco,13,Bolívar,10.35,-75.3333333
"13838",Turbaná - Bolívar,,Turbaná,13,Bolívar,10.25,-75.4166667
"13873",Villanueva - Bolívar,,Villanueva,13,Bolívar,10.45,-75.25
"13894",Zambrano - Bolívar,,Zambrano,13,Bolívar,9.75,-74.8333333
"15022",Almeida - Boyacá,,Almeida,15,Boyacá,4.9166667,-73.3333333
"15047",Aquitania - Boyacá,,Aquitania,15,Boyacá,5.5197222,-72.8875
"15051",Arcabuco - Boyacá,,Arcabuco,15,Boyacá,5.8,-73.3833333
