id,name,alternativeNames,municipio,departamentoId,departamento,lat,lon
"13268",El Peñon - Bolívar,,El Peñon,13,Bolívar,8.9833333,-73.95
"20517",Pailitas - Cesar,,Pailitas,20,Cesar,8.9661111,-73.6316667
"13300",Hatillo de Loba - Bolívar,,Hatillo de Loba,13,Bolívar,8.9586111,-74.0808333
"23574",Puerto Escondido - Córdoba,,Puerto Escondido,23,Córdoba,8.95,-76.25
"13549",Pinillos - Bolívar,,Pinillos,13,Bolívar,8.9172222,-74.4663889
"23162",Cereté - Córdoba,,Cereté,23,Córdoba,8.9166667,-76
"23419",Los Córdobas - Córdoba,,Los Córdobas,23,Córdoba,8.9,-76.3597222
"70400",La Unión - Sucre,,La Unión,70,Sucre,8.8605556,-75.2805556
"23189",Ciénaga de Oro - Córdoba,,Ciénaga de Oro,23,Córdoba,8.8333333,-75.6666667
"23660",Sahagún - Córdoba,,Sahagún,23,Córdoba,8.8333333,-75.4166667
"70124",Caimito - Sucre,,Caimito,70,Sucre,8.8333333,-75.1666667
"13074",Barranco de Loba - Bolívar,,Barranco de Loba,13,Bolívar,8.8333333,-74.1666667
"13667",San Martín de Loba - Bolívar,,San Martín de Loba,13,Bolívar,8.8333333,-73.9166667
"20787",Tamalameque - Cesar,,Tamalameque,20,Cesar,8.8333333,-73.5833333
"54206",Convención - Norte de Santander,,Convención,54,Norte de Santander,8.8333333,-73.2
"13030",Altos del Rosario - Bolívar,,Altos del Rosario,13,Bolívar,8.7944444,-74.1658333
"05659",San Juan de Urabá - Antioquia,,San Juan de Urabá,5,Antioquia,8.7630556,-76.53
"23079",Buenavista - Córdoba,,Buenavista,23,Córdoba,8.7575,-75.89
"23001",Monteria - Córdoba,,Montería,23,Córdoba,8.7575,-75.89
"70678",San Benito Abad - Sucre,,San Benito Abad,70,Sucre,8.75,-74.9166667
"54245",El Carmen - Norte de Santander,,El Carmen,54,Norte de Santander,8.75,-73.3333333
"54800",Teorama - Norte de Santander,,Teorama,54,Norte de Santander,8.75,-73.1666667
"54670",San Calixto - Norte de Santander,,San Calixto,54,Norte de Santander,8.75,-73.0333333
"23678",San Carlos - Córdoba,,San Carlos,23,Córdoba,8.7,-75.7
"20550",Pelaya - Cesar,,Pelaya,20,Cesar,8.6916667,-73.6663889
"23090",Canalete - Córdoba,,Canalete,23,Córdoba,8.6761111,-76.2041667
"13580",Regidor - Bolívar,,Regidor,13,Bolívar,8.6666667,-73.8333333
"54810",Tibú - Norte de Santander,,Tibú,54,Norte de Santander,8.6480556,-72.7394444
"13600",Río Viejo - Bolívar,,Río Viejo,13,Bolívar,8.59,-73.8436111
"54250",El Tarra - Norte de Santander,,El Tarra,54,Norte de Santander,8.5847222,-73.0883333
"70708",San Marcos - Sucre,,San Marcos,70,Sucre,8.5833333,-75.1666667
"20383",La Gloria - Cesar,,La Gloria,20,Cesar,8.5833333,-73.5833333
"13810",Tiquisio (Puerto Rico) - Bolívar,,Tiquisio (Puerto Rico),13,Bolívar,8.5597222,-74.2669444
"13490",Norosí - Bolívar,,Norosí,13,Bolívar,8.5333333,-74.0333333
"05051",Arboletes - Antioquia,,Arboletes,5,Antioquia,8.5,-76.4166667
"70429",Majagual - Sucre,,Majagual,70,Sucre,8.5,-74.6666667
"54344",Hacarí - Norte de Santander,,Hacarí,54,Norte de Santander,8.5,-73.0833333
"70265",Guaranda - Sucre,,Guaranda,70,Sucre,8.4697222,-75.5383333
"13042",Arenal - Bolívar,,Arenal,13,Bolívar,8.4666667,-73.95
"05490",Necoclí - Antioquia,,Necoclí,5,Antioquia,8.4238889,-76.7911111
"13473",Morales - Bolívar,,Morales,13,Bolívar,8.4166667,-74
"20310",Gonzalez - Cesar,,Gonzalez,20,Cesar,8.4,-73.3333333
"54553",Puerto Santander - Norte de Santander,,Puerto Santander,54,Norte de Santander,8.3636111,-72.4075
"27006",Acandí - Chocó,,Acandí,27,Chocó,8.3333333,-77.1666667
"23555",Planeta Rica - Córdoba,,Planeta Rica,23,Córdoba,8.3333333,-75.5833333
"20295",Gamarra - Cesar,,Gamarra,20,Cesar,8.3333333,-73.6666667
"20011",Aguachica - Cesar,,Aguachica,20,Cesar,8.3333333,-73.5833333
"23855",Valencia - Córdoba,,Valencia,23,Córdoba,8.3,-76.1666667
